Fecha; Title; URL; Status; Registers; Scrapping Time; Request Time; Info
2020-04-11 20:28:27;March 2020 Cyber Attacks Statistics;https://www.hackmageddon.com/2020/04/08/march-2020-cyber-attacks-statistics/;INFO;0;0.00;1.17;Report March 2020 Cyber Attacks Statistics en https://www.hackmageddon.com/category/security/cyber-attacks-timeline/ excluido
2020-04-11 20:28:48;16-31 March 2020 Cyber Attacks Timeline;https://www.hackmageddon.com/2020/04/07/16-31-march-2020-cyber-attacks-timeline/;OK;107;20.91;0.15;Leídas 107 de 107
2020-04-11 20:29:05;1-15 March 2020 Cyber Attacks Timeline;https://www.hackmageddon.com/2020/03/30/1-15-march-2020-cyber-attacks-timeline/;OK;77;17.13;0.18;Leídas 77 de 77
2020-04-11 20:29:26;16-29 February 2020 Cyber Attacks Timeline;https://www.hackmageddon.com/2020/03/17/16-29-february-2020-cyber-attacks-timeline/;OK;50;20.84;0.17;Leídas 50 de 97
2020-04-11 20:29:42;1-15 February 2020 Cyber Attacks Timeline;https://www.hackmageddon.com/2020/03/10/1-15-february-2020-cyber-attacks-timeline/;OK;97;16.00;0.23;Leídas 97 de 97
2020-04-11 20:29:57;16-31 January 2020 Cyber Attacks Timeline;https://www.hackmageddon.com/2020/02/27/16-31-january-2020-cyber-attacks-timeline/;OK;83;14.95;0.15;Leídas 83 de 83
2020-04-11 20:30:12;1-15 January 2020 Cyber Attacks Timeline;https://www.hackmageddon.com/2020/02/10/1-15-january-2020-cyber-attacks-timeline/;OK;68;15.73;0.18;Leídas 68 de 68
2020-04-11 20:30:29;16-31 December 2019 Cyber Attacks Timeline;https://www.hackmageddon.com/2020/01/13/16-31-december-2019-cyber-attacks-timeline/;OK;80;16.91;0.17;Leídas 80 de 80
2020-04-11 20:30:46;1-15 December 2019 Cyber Attacks Timeline;https://www.hackmageddon.com/2020/01/07/1-15-december-2019-cyber-attacks-timeline/;OK;83;16.95;0.16;Leídas 83 de 83
2020-04-11 20:31:02;16-30 November 2019 Cyber Attacks Timeline;https://www.hackmageddon.com/2019/12/16/16-30-november-2019-cyber-attacks-timeline/;OK;62;16.12;0.14;Leídas 62 de 62
2020-04-11 20:31:19;1-15 November 2019 Cyber Attacks Timeline;https://www.hackmageddon.com/2019/12/03/1-15-november-2019-cyber-attacks-timeline/;OK;82;15.98;0.14;Leídas 82 de 82
2020-04-11 20:31:34;16-31 October 2019 Cyber Attacks Timeline;https://www.hackmageddon.com/2019/11/13/16-31-october-2019-cyber-attacks-timeline/;OK;77;14.34;0.17;Leídas 77 de 77
2020-04-11 20:31:56;1-15 October 2019 Cyber Attacks Timeline;https://www.hackmageddon.com/2019/11/07/1-15-october-2019-cyber-attacks-timeline/;OK;70;22.66;1.17;Leídas 70 de 87
2020-04-11 20:32:23;16-30 September 2019 Cyber Attacks Timeline;https://www.hackmageddon.com/2019/10/28/16-30-september-2019-cyber-attacks-timeline/;OK;77;27.17;1.17;Leídas 77 de 77
2020-04-11 20:32:44;1-15 September 2019 Cyber Attacks Timeline;https://www.hackmageddon.com/2019/10/17/1-15-september-2019-cyber-attacks-timeline/;OK;63;20.81;1.18;Leídas 63 de 63
2020-04-11 20:33:09;16-31 August 2019 Cyber Attacks Timeline;https://www.hackmageddon.com/2019/10/03/16-31-august-2019-cyber-attacks-timeline/;OK;82;25.23;1.18;Leídas 82 de 82
2020-04-11 20:33:22;1-15 August 2019 Cyber Attacks Timeline;https://www.hackmageddon.com/2019/09/19/1-15-august-2019-cyber-attacks-timeline/;OK;20;12.90;1.26;Leídas 20 de 78
2020-04-11 20:33:50;16-31 July 2019 Cyber Attacks Timeline;https://www.hackmageddon.com/2019/09/10/16-31-july-2019-cyber-attacks-timeline/;OK;98;27.64;1.16;Leídas 98 de 98
2020-04-11 20:34:03;1-15 July 2019 Cyber Attacks Timeline;https://www.hackmageddon.com/2019/08/13/1-15-july-cyber-attacks-timeline/;OK;64;13.49;1.19;Leídas 64 de 64
2020-04-11 20:34:16;16-30 June 2019 Cyber Attacks Timeline;https://www.hackmageddon.com/2019/08/07/16-30-june-2019-cyber-attacks-timeline/;OK;71;12.95;1.19;Leídas 71 de 71
2020-04-11 20:34:42;1-15 June 2019 Cyber Attacks Timeline;https://www.hackmageddon.com/2019/07/10/1-15-june-2019-cyber-attacks-timeline/;OK;70;23.86;1.17;Leídas 70 de 70
2020-04-11 20:34:55;16-31 May 2019 Cyber Attacks Timeline;https://www.hackmageddon.com/2019/06/11/16-31-may-2019-cyber-attacks-timeline/;OK;61;12.87;1.20;Leídas 61 de 61
2020-04-11 20:35:09;1-15 May 2019 Cyber Attacks Timeline;https://www.hackmageddon.com/2019/05/28/1-15-may-2019-cyber-attacks-timeline/;OK;73;13.95;1.22;Leídas 73 de 73
2020-04-11 20:35:23;16-30 April 2019 Cyber Attacks Timeline;https://www.hackmageddon.com/2019/05/16/16-30-april-2019-cyber-attacks-timeline/;OK;74;13.96;1.19;Leídas 74 de 74
2020-04-11 20:35:39;1-15 April 2019 Cyber Attacks Timeline;https://www.hackmageddon.com/2019/05/07/1-15-april-2019-cyber-attacks-timeline/;OK;79;16.53;1.20;Leídas 79 de 79
2020-04-11 20:36:00;16-31 March 2019 Cyber Attacks Timeline;https://www.hackmageddon.com/2019/04/15/16-31-march-2019-cyber-attacks-timeline/;OK;69;21.03;1.17;Leídas 69 de 69
2020-04-11 20:36:23;1-15 March 2019 Cyber Attacks Timeline;https://www.hackmageddon.com/2019/04/09/1-15-march-2019-cyber-attacks-timeline/;OK;70;22.27;1.17;Leídas 70 de 70
2020-04-11 20:36:46;16-28 February 2019 Cyber Attacks Timeline;https://www.hackmageddon.com/2019/03/20/16-28-february-2019-cyber-attacks-timeline/;OK;74;23.18;1.17;Leídas 74 de 74
2020-04-11 20:37:15;1-15 February 2019 Cyber Attacks Timeline;https://www.hackmageddon.com/2019/03/12/1-15-february-2019-cyber-attacks-timeline/;OK;71;28.77;1.16;Leídas 71 de 71
2020-04-11 20:37:41;16-31 January 2019 Cyber Attacks Timeline;https://www.hackmageddon.com/2019/02/14/16-31-january-2019-cyber-attacks-timeline/;OK;81;26.01;1.16;Leídas 81 de 81
2020-04-11 20:37:59;1-15 January 2019 Cyber Attacks Timeline;https://www.hackmageddon.com/2019/02/04/1-15-january-2019-cyber-attacks-timeline/;OK;47;16.62;1.16;Leídas 47 de 47
2020-04-11 20:37:59;2018: A Year of Cyber Attacks;https://www.hackmageddon.com/2019/01/15/2018-a-year-of-cyber-attacks/;INFO;0;0.00;1.16;Report 2018: A Year of Cyber Attacks en https://www.hackmageddon.com/category/security/cyber-attacks-timeline/page/4/ excluido
2020-04-11 20:37:59;16-31 December 2018 Cyber Attacks Timeline;https://www.hackmageddon.com/2019/01/07/16-31-december-2018-cyber-attacks-timeline/;INFO;0;0.00;1.16;Report 16-31 December 2018 Cyber Attacks Timeline en https://www.hackmageddon.com/category/security/cyber-attacks-timeline/page/4/ excluido
2020-04-11 20:37:59;TIMELINE;https://www.hackmageddon.com/category/security/cyber-attacks-timeline/page/4/;KO;0;0;1.16;No existen más reports para el periodo seleccionado (213)
2020-04-11 20:38:38;MASTER TABLE 2018;https://www.hackmageddon.com/2018-master-table/;OK;1337;36.65;0.44;Carga Completa
2020-04-11 20:39:11;MASTER TABLE 2017;https://www.hackmageddon.com/2017-master-table/;OK;951;26.17;0.31;Carga Completa
